Α/Α,Γεωγρα-φικό επίπεδο,NUTS1,NUTS2,Γεωγραφικός κωδικός,Περιγραφή,Μόνιμος πληθυσμός
1,0, , , ,ΣΥΝΟΛΟ ΧΩΡΑΣ,10482487
2,1,1, , ,ΒΟΡΕΙΑ ΕΛΛΑΔΑ,2932456
3,2,1,1, ,ΑΠΟΚΕΝΤΡΩΜΕΝΗ ΔΙΟΙΚΗΣΗ ΜΑΚΕΔΟΝΙΑΣ - ΘΡΑΚΗΣ,2357870
4,3,1,11, ,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,562201
5,4,1,11,01,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΡΟΔΟΠΗΣ,104262
6,5,1,11,0101,ΔΗΜΟΣ ΚΟΜΟΤΗΝΗΣ,65243
7,6,1,11,010101,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΚΟΜΟΤΗΝΗΣ,60160
8,7,1,11,01010101,Δημοτική Κοινότητα Κομοτηνής,54165
9,8,1,11,0101010101,"Κομοτηνή,η",51732
10,8,1,11,0101010102,"Ήφαιστος,ο",1348
11,8,1,11,0101010103,"Μέγα Κρανοβούνιον,το",95
12,8,1,11,0101010104,"Μεσοχώριον,το",99
13,8,1,11,0101010105,"Μικρόν Κρανοβούνιον,το",102
14,8,1,11,0101010106,"Παραδημή,η",309
15,8,1,11,0101010107,"Σχολή Αστυνομίας,η",109
16,8,1,11,0101010108,"Υφανταί,οι",371
17,7,1,11,01010102,Δημοτική Κοινότητα Ανθοχωρίου,65
18,8,1,11,0101010201,"Ανθοχώριον,το",65
19,7,1,11,01010103,Δημοτική Κοινότητα Γρατίνης,271
20,8,1,11,0101010301,"Γρατινή,η",271
21,7,1,11,01010104,Δημοτική Κοινότητα Θρυλορίου,1912
22,8,1,11,0101010401,"Θρυλόριον,το",550
23,8,1,11,0101010402,"Ροδίτης,ο",1078
24,8,1,11,0101010403,"Φύλακας,ο",284
25,7,1,11,01010105,Δημοτική Κοινότητα Ιτέας,70
26,8,1,11,0101010501,"Ιτέα,η",70
27,7,1,11,01010106,Δημοτική Κοινότητα Κάλχαντος,1074
28,8,1,11,0101010601,"Κάλχας,ο",598
29,8,1,11,0101010602,"Ιάμπολις,η",151
30,8,1,11,0101010603,"Μεγάλη Άδα,η",8
31,8,1,11,0101010604,"Μύτικας,ο",8
32,8,1,11,0101010605,"Σαρακηνή,η",29
33,8,1,11,0101010606,"Τυχηρόν,το",280
34,7,1,11,01010107,Δημοτική Κοινότητα Καρυδιάς,338
35,8,1,11,0101010701,"Καρυδιά,η",338
36,7,1,11,01010108,Δημοτική Κοινότητα Κηκιδίου,566
37,8,1,11,0101010801,"Κηκίδιον,το",566
38,7,1,11,01010109,Δημοτική Κοινότητα Κοσμίου,905
39,8,1,11,0101010901,"Κόσμιον,το",905
40,7,1,11,01010110,Δημοτική Κοινότητα Πανδρόσου,344
41,8,1,11,0101011001,"Πάνδροσος,η",106
42,8,1,11,0101011002,"Νυμφαία,η",37
43,8,1,11,0101011003,"Σύμβολα,τα",201
44,7,1,11,01010111,Δημοτική Κοινότητα Σιδηράδων,178
45,8,1,11,0101011101,"Σιδηράδες,οι",178
46,7,1,11,01010112,Δημοτική Κοινότητα Στυλάριου,272
47,8,1,11,0101011201,"Στυλάριον,το",272
48,6,1,11,010102,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΙΓΕΙΡΟΥ,2870
49,7,1,11,01010201,Δημοτική Κοινότητα Αιγείρου,1019
50,8,1,11,0101020101,"Αίγειρος,η",777
51,8,1,11,0101020102,"Αγροτικόν Ορφανοτροφείον,το",39
52,8,1,11,0101020103,"Μεσσούνη,η",203
53,7,1,11,01010202,Δημοτική Κοινότητα Αρωγής,27
54,8,1,11,0101020201,"Αρωγή,η",27
55,7,1,11,01010203,Δημοτική Κοινότητα Γλυφάδας,136
56,8,1,11,0101020301,"Γλυφάδα,η",136
57,7,1,11,01010204,Δημοτική Κοινότητα Καλλίστης,125
58,8,1,11,0101020401,"Καλλίστη,η",125
59,7,1,11,01010205,Δημοτική Κοινότητα Μελέτης,320
60,8,1,11,0101020501,"Μελέτη,η",320
61,7,1,11,01010206,Δημοτική Κοινότητα Μέσης,141
62,8,1,11,0101020601,"Μέση,η",141
63,7,1,11,01010207,Δημοτική Κοινότητα Νέας Καλλίστης,311
64,8,1,11,0101020701,"Νέα Καλλίστη,η",311
65,7,1,11,01010208,Δημοτική Κοινότητα Παραλίας Μέσης,16
66,8,1,11,0101020801,"Παραλία Μέσης,η",16
67,7,1,11,01010209,Δημοτική Κοινότητα Πόρπης,337
68,8,1,11,0101020901,"Πόρπη,η",337
69,7,1,11,01010210,Δημοτική Κοινότητα Φαναρίου,438
70,8,1,11,0101021001,"Φανάριον,το",438
71,6,1,11,010103,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΝΕΟΥ ΣΙΔΗΡΟΧΩΡΙΟΥ,2213
72,7,1,11,01010301,Δημοτική Κοινότητα Νέου Σιδηροχωρίου,1070
73,8,1,11,0101030101,"Νέον Σιδηροχώριον,το",436
74,8,1,11,0101030102,"Αδριανή,η",105
75,8,1,11,0101030103,"Καλαμόκαστρον,το",302
76,8,1,11,0101030104,"Μαυρομμάτιον,το",103
77,8,1,11,0101030105,"Μικρόν Δουκάτον,το",124
78,7,1,11,01010302,Δημοτική Κοινότητα Αγίων Θεοδώρων,373
79,8,1,11,0101030201,"Άγιοι Θεόδωροι,οι",373
80,7,1,11,01010303,Δημοτική Κοινότητα Μεγάλου Δουκάτου,378
81,8,1,11,0101030301,"Μέγα Δουκάτον,το",378
82,7,1,11,01010304,Δημοτική Κοινότητα Παγουρίων,392
83,8,1,11,0101030401,"Παγούρια,τα",392
84,5,1,11,0102,ΔΗΜΟΣ ΑΡΡΙΑΝΩΝ,14905
85,6,1,11,010201,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΦΙΛΛΥΡΑΣ,6813
86,7,1,11,01020101,Δημοτική Κοινότητα Φιλλύρας,827
87,8,1,11,0102010101,"Φιλλύρα,η",827
88,7,1,11,01020102,Δημοτική Κοινότητα Άγρας,166
89,8,1,11,0102010201,"Άγρα,η",166
90,7,1,11,01020103,Δημοτική Κοινότητα Άνω Δροσίνης,97
91,8,1,11,0102010301,"Άνω Δροσινή,η",97
92,7,1,11,01020104,Δημοτική Κοινότητα Αράτου,906
93,8,1,11,0102010401,"Άρατος,ο",906
94,7,1,11,01020105,Δημοτική Κοινότητα Αρδείας,25
95,8,1,11,0102010501,"Αρδεία,η",25
96,7,1,11,01020106,Δημοτική Κοινότητα Αρχοντικών,394
97,8,1,11,0102010601,"Αρχοντικά,τα",394
98,7,1,11,01020107,Δημοτική Κοινότητα Βραγιάς,418
99,8,1,11,0102010701,"Βραγιά,η",418
100,7,1,11,01020108,Δημοτική Κοινότητα Δοκού,918
101,8,1,11,0102010801,"Δοκός,η",918
102,7,1,11,01020109,Δημοτική Κοινότητα Δροσιάς,193
103,8,1,11,0102010901,"Δροσιά,η",193
104,7,1,11,01020110,Δημοτική Κοινότητα Δρύμης,262
105,8,1,11,0102011001,"Δρύμη,η",262
106,7,1,11,01020111,Δημοτική Κοινότητα Εσοχής,289
107,8,1,11,0102011101,"Εσοχή,η",289
108,7,1,11,01020112,Δημοτική Κοινότητα Κάτω Δροσινής,58
109,8,1,11,0102011201,"Κάτω Δροσινή,η",58
110,7,1,11,01020113,Δημοτική Κοινότητα Λαμπρού,475
111,8,1,11,0102011301,"Λαμπρόν,το",475
112,7,1,11,01020114,Δημοτική Κοινότητα Νέου Καλλυντήριου,243
113,8,1,11,0102011401,"Νέον Καλλυντήριον,το",243
114,7,1,11,01020115,Δημοτική Κοινότητα Νεύρων,148
115,8,1,11,0102011501,"Νεύρα,τα",148
116,7,1,11,01020116,Δημοτική Κοινότητα Ομηρικού,327
117,8,1,11,0102011601,"Ομηρικόν,το",327
118,7,1,11,01020117,Δημοτική Κοινότητα Πάσσου,618
119,8,1,11,0102011701,"Πάσσος,ο",618
120,7,1,11,01020118,Δημοτική Κοινότητα Πατερμών,111
121,8,1,11,0102011801,"Πατερμά,τα",111
122,7,1,11,01020119,Δημοτική Κοινότητα Ραγάδας,264
123,8,1,11,0102011901,"Ραγάδα,η",264
124,7,1,11,01020120,Δημοτική Κοινότητα Σκιάδας,74
125,8,1,11,0102012001,"Σκιάδα,η",74
126,6,1,11,010202,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΡΡΙΑΝΩΝ,5288
127,7,1,11,01020201,Δημοτική Κοινότητα Αρριανών,1112
128,8,1,11,0102020101,"Αρριανά,τα",1112
129,7,1,11,01020202,Δημοτική Κοινότητα Αγιοχωρίου,221
130,8,1,11,0102020201,"Αγιοχώριον,το",221
131,7,1,11,01020203,Δημοτική Κοινότητα Δαρμένης,276
132,8,1,11,0102020301,"Δαρμένη,η",276
133,7,1,11,01020204,Δημοτική Κοινότητα Δειλινών,303
134,8,1,11,0102020401,"Δειλινά,τα",303
135,7,1,11,01020205,Δημοτική Κοινότητα Ηπίου,250
136,8,1,11,0102020501,"Ήπιον,το",250
137,7,1,11,01020206,Δημοτική Κοινότητα Κινύρων,151
138,8,1,11,0102020601,"Κίνυρα,τα",151
139,7,1,11,01020207,Δημοτική Κοινότητα Λυκείου,998
140,8,1,11,0102020701,"Λύκειον,το",998
141,7,1,11,01020208,Δημοτική Κοινότητα Μικρού Πιστού,391
142,8,1,11,0102020801,"Μικρόν Πιστόν,το",391
143,7,1,11,01020209,Δημοτική Κοινότητα Μύστακα,374
144,8,1,11,0102020901,"Μύστακας,ο",374
145,7,1,11,01020210,Δημοτική Κοινότητα Νέδας,229
146,8,1,11,0102021001,"Νέδα,η",229
147,7,1,11,01020211,Δημοτική Κοινότητα Νικητών,76
148,8,1,11,0102021101,"Νικηταί,οι",76
149,7,1,11,01020212,Δημοτική Κοινότητα Πλαγιάς,268
150,8,1,11,0102021201,"Πλαγιά,η",268
151,7,1,11,01020213,Δημοτική Κοινότητα Σκαλώματος,308
152,8,1,11,0102021301,"Σκάλωμα,το",308
153,7,1,11,01020214,Δημοτική Κοινότητα Στροφής,331
154,8,1,11,0102021401,"Στροφή,η",331
155,6,1,11,010203,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΚΕΧΡΟΥ,1019
156,7,1,11,01020301,Δημοτική Κοινότητα Κέχρου,1019
157,8,1,11,0102030101,"Κέχρος,ο",188
158,8,1,11,0102030102,"Άνω Καμπή,η",15
159,8,1,11,0102030103,"Βούρλα,τα",30
160,8,1,11,0102030104,"Κάμπος,ο",64
161,8,1,11,0102030105,"Κερασιά,η",118
162,8,1,11,0102030106,"Μικρός Κέχρος,ο",80
163,8,1,11,0102030107,"Μοναστήριον,το",34
164,8,1,11,0102030108,"Τσούκκα,η",43
165,8,1,11,0102030109,"Χαμηλόν,το",69
166,8,1,11,0102030110,"Χαράδρα,η",91
167,8,1,11,0102030111,"Χλόη,η",287
168,6,1,11,010204,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΟΡΓΑΝΗΣ,1785
169,7,1,11,01020401,Δημοτική Κοινότητα Οργάνης,1785
170,8,1,11,0102040101,"Οργάνη,η",459
171,8,1,11,0102040102,"Άνω Κάρδαμος,ο",40
172,8,1,11,0102040103,"Βυρσίνη,η",296
173,8,1,11,0102040104,"Δρανιά,η",134
174,8,1,11,0102040105,"Καλύβια,τα",32
175,8,1,11,0102040106,"Κάρδαμος,ο",165
176,8,1,11,0102040107,"Κάτω Βυρσίνη,η",49
177,8,1,11,0102040108,"Κόβαλον,το",23
178,8,1,11,0102040109,"Κύμη,η",210
179,8,1,11,0102040110,"Μυρτίσκη,η",317
180,8,1,11,0102040111,"Σμιγάδα,η",60
181,5,1,11,0103,ΔΗΜΟΣ ΙΑΣΜΟΥ,12247
182,6,1,11,010301,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΙΑΣΜΟΥ,4974
183,7,1,11,01030101,Δημοτική Κοινότητα Ιάσμου,3892
184,8,1,11,0103010101,"Ίασμος,ο",2319
185,8,1,11,0103010102,"Γαλήνη,η",247
186,8,1,11,0103010103,"Διαλαμπή,η",365
187,8,1,11,0103010104,"Ιππικόν,το",29
188,8,1,11,0103010105,"Κοπτερόν,το",774
189,8,1,11,0103010106,"Μελίταινα,η",11
190,8,1,11,0103010107,"Μωσαϊκόν,το",147
191,7,1,11,01030102,Δημοτική Κοινότητα Αμβροσίας,649
192,8,1,11,0103010201,"Αμβροσία,η",383
193,8,1,11,0103010202,"Μικρόν Παλλάδιον,το",60
194,8,1,11,0103010203,"Παλλάδιον,το",206
195,7,1,11,01030103,Δημοτική Κοινότητα Σάλπης,433
196,8,1,11,0103010301,"Σάλπη,η",381
197,8,1,11,0103010302,"Γλυκονέριον,το",52
198,6,1,11,010302,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΜΑΞΑΔΩΝ,1752
199,7,1,11,01030201,Δημοτική Κοινότητα Αμαξάδων,1752
200,8,1,11,0103020101,"Αμαξάδες,οι",1220
201,8,1,11,0103020102,"Άνω Αμαξάδες,οι",522
202,8,1,11,0103020103,"Μοναχοί,οι",10
203,6,1,11,010303,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΣΩΣΤΟΥ,5521
204,7,1,11,01030301,Δημοτική Κοινότητα Σώστη,632
205,8,1,11,0103030101,"Σώστης,ο",632
206,7,1,11,01030302,Δημοτική Κοινότητα Ασωμάτων,2481
207,8,1,11,0103030201,"Αγίασμα,το",279
208,8,1,11,0103030202,"Ασώματοι,οι",601
209,8,1,11,0103030203,"Δύμη,η",315
210,8,1,11,0103030204,"Θάμνα,τα",430
211,8,1,11,0103030205,"Ρίζωμα,το",252
212,8,1,11,0103030206,"Φοιτητικές Εστίες Δ.Π.Θ.,οι",350
213,8,1,11,0103030207,"Φωλέα,η",254
214,7,1,11,01030303,Δημοτική Κοινότητα Κερασέας,3
215,8,1,11,0103030301,"Κερασέα,η",3
216,7,1,11,01030304,Δημοτική Κοινότητα Ληνού,348
217,8,1,11,0103030401,"Ληνός,ο",348
218,7,1,11,01030305,Δημοτική Κοινότητα Μέγα Πιστού,810
219,8,1,11,0103030501,"Μέγα Πιστόν,το",810
220,7,1,11,01030306,Δημοτική Κοινότητα Μίσχου,616
221,8,1,11,0103030601,"Μίσχος,ο",616
222,7,1,11,01030307,Δημοτική Κοινότητα Πολυάνθου,631
223,8,1,11,0103030701,"Πολύανθον,το",620
224,8,1,11,0103030702,"Κρυστάλλη,η",6
225,8,1,11,0103030703,"Τρίκορφον,το",5
226,5,1,11,0104,ΔΗΜΟΣ ΜΑΡΩΝΕΙΑΣ - ΣΑΠΩΝ,11867
227,6,1,11,010401,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΣΑΠΩΝ,6738
228,7,1,11,01040101,Δημοτική Κοινότητα Σαπών,3948
229,8,1,11,0104010101,"Σάπαι,οι",2694
230,8,1,11,0104010102,"Αετοκορυφή,η",40
231,8,1,11,0104010103,"Αρσάκειον,το",573
232,8,1,11,0104010104,"Βέλκιον,το",198
233,8,1,11,0104010105,"Κασσιτερά,τα",14
234,8,1,11,0104010106,"Πρωτάτον,το",211
235,8,1,11,0104010107,"Τσιφλίκιον,το",96
236,8,1,11,0104010108,"Χαμηλόν,το",122
237,7,1,11,01040102,Δημοτική Κοινότητα Αμφίας,339
238,8,1,11,0104010201,"Αμφία,τα",339
239,7,1,11,01040103,Δημοτική Κοινότητα Αρίσβης,883
240,8,1,11,0104010301,"Αρίσβη,η",883
241,7,1,11,01040104,Δημοτική Κοινότητα Έβρενου,459
242,8,1,11,0104010401,"Έβρενος,ο",459
243,7,1,11,01040105,Δημοτική Κοινότητα Ιασίου,59
244,8,1,11,0104010501,"Ιάσιον,το",59
245,7,1,11,01040106,Δημοτική Κοινότητα Κιζαρίου,23
246,8,1,11,0104010601,"Κιζάριον,το",23
247,7,1,11,01040107,Δημοτική Κοινότητα Κρωβύλης,338
248,8,1,11,0104010701,"Κρωβύλη,η",119
249,8,1,11,0104010702,"Παλαιά Κρωβύλη,η",213
250,8,1,11,0104010703,"Παραλία Πετρωτών,η",0
251,8,1,11,0104010704,"Πετρωτά,τα",6
252,7,1,11,01040108,Δημοτική Κοινότητα Λοφαρίου,379
253,8,1,11,0104010801,"Λοφάριον,το",358
254,8,1,11,0104010802,"Αετόλοφος,ο",21
255,7,1,11,01040109,Δημοτική Κοινότητα Νέας Σάντας,128
256,8,1,11,0104010901,"Νέα Σάντα,η",128
257,7,1,11,01040110,Δημοτική Κοινότητα Στρύμης,182
258,8,1,11,0104011001,"Στρύμη,η",54
259,8,1,11,0104011002,"Διώνη,η",128
260,6,1,11,010402,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΜΑΡΩΝΕΙΑΣ,5129
261,7,1,11,01040201,Δημοτική Κοινότητα Ξυλαγανής,1306
262,8,1,11,0104020101,"Ξυλαγανή,η",942
263,8,1,11,0104020102,"Εργάνη,η",325
264,8,1,11,0104020103,"Νέα Πέτρα,η",39
265,7,1,11,01040202,Δημοτική Κοινότητα Αμαράντων,1633
266,8,1,11,0104020201,"Αμάραντα,τα",558
267,8,1,11,0104020202,"Βάκος,ο",445
268,8,1,11,0104020203,"Ίσαλον,το",387
269,8,1,11,0104020204,"Καλλιθέα,η",74
270,8,1,11,0104020205,"Πάμφορον,το",169
271,7,1,11,01040203,Δημοτική Κοινότητα Ιμέρου,213
272,8,1,11,0104020301,"Ίμερος,ο",201
273,8,1,11,0104020302,"Αμπελάκια,τα",12
274,7,1,11,01040204,Δημοτική Κοινότητα Μαρωνείας,514
275,8,1,11,0104020401,"Μαρώνεια,η",377
276,8,1,11,0104020402,"Άγιος Χαράλαμπος,ο",5
277,8,1,11,0104020403,"Άνω Ασκηταί,οι",34
278,8,1,11,0104020404,"Ασκηταί,οι",66
279,8,1,11,0104020405,"Πλατανίτης,ο",32
280,7,1,11,01040205,Δημοτική Κοινότητα Μιράνων,974
281,8,1,11,0104020501,"Μίρανα,τα",232
282,8,1,11,0104020502,"Βέννα,η",415
283,8,1,11,0104020503,"Σαλμώνη,η",327
284,7,1,11,01040206,Δημοτική Κοινότητα Πελαγίας,37
285,8,1,11,0104020601,"Πελαγία,η",37
286,7,1,11,01040207,Δημοτική Κοινότητα Προσκυνητών,452
287,8,1,11,0104020701,"Προσκυνηταί,οι",378
288,8,1,11,0104020702,"Αλκυών,η",11
289,8,1,11,0104020703,"Κρυονέρι,το",30
290,8,1,11,0104020704,"Λεύκες,οι",3
291,8,1,11,0104020705,"Παραθεριστικός Οικ. Συνετ/σμός Υπαλ. ΔΕΗ Κομοτηνής,ο",5
292,8,1,11,0104020706,"Προφήτης Ηλίας,ο",25
293,4,1,11,02,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΔΡΑΜΑΣ,86643
294,5,1,11,0201,ΔΗΜΟΣ ΔΡΑΜΑΣ,55679
295,6,1,11,020101,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΔΡΑΜΑΣ,55440
296,7,1,11,02010101,Δημοτική Κοινότητα Δράμας,44257
297,8,1,11,0201010101,"Δράμα,η",43445
298,8,1,11,0201010102,"Αμπελάκια,τα",273
299,8,1,11,0201010103,"Νέα Σεβάστεια,η",431
300,8,1,11,0201010104,"Ταξιάρχαι,οι",107
301,8,1,11,0201010105,"Τιμόθεος,ο",1
302,7,1,11,02010102,Δημοτική Κοινότητα Καλλιφύτου,1627
303,8,1,11,0201010201,"Καλλίφυτος,η",1201
304,8,1,11,0201010202,"Πανόραμα,το",426
305,7,1,11,02010103,Δημοτική Κοινότητα Καλού Αγρού,838
306,8,1,11,0201010301,"Καλός Αγρός,ο",838
307,7,1,11,02010104,Δημοτική Κοινότητα Κουδουνίων,814
308,8,1,11,0201010401,"Κουδούνια,τα",814
309,7,1,11,02010105,Δημοτική Κοινότητα Λιβαδερού,60
310,8,1,11,0201010501,"Λιβαδερόν,το",39
311,8,1,11,0201010502,"Δενδράκια,τα",21
312,8,1,11,0201010503,"Χαράδρα,η",0
313,7,1,11,02010106,Δημοτική Κοινότητα Μακρυπλαγίου,25
314,8,1,11,0201010601,"Μακρυπλάγιον,το",25
315,8,1,11,0201010602,"Πολύκαρπος,ο",0
316,7,1,11,02010107,Δημοτική Κοινότητα Μαυροβάτου,641
317,8,1,11,0201010701,"Μαυρόβατος,ο",641
318,7,1,11,02010108,Δημοτική Κοινότητα Μικροχωρίου,598
319,8,1,11,0201010801,"Μικροχώριον,το",598
320,7,1,11,02010109,Δημοτική Κοινότητα Μοναστηρακίου,733
321,8,1,11,0201010901,"Μοναστηράκιον,το",691
322,8,1,11,0201010902,"Βαθύλακκος,ο",42
323,7,1,11,02010110,Δημοτική Κοινότητα Μυλοποτάμου,599
324,8,1,11,0201011001,"Μυλοπόταμος,ο",599
325,7,1,11,02010111,Δημοτική Κοινότητα Νικοτσάρας,201
326,8,1,11,0201011101,"Νικοτσάρας,ο",201
327,7,1,11,02010112,Δημοτική Κοινότητα Ξηροποτάμου,2535
328,8,1,11,0201011201,"Ξηροπόταμος,ο",2409
329,8,1,11,0201011202,"Μεταμόρφωσις Σωτήρος,η",126
330,7,1,11,02010113,Δημοτική Κοινότητα Χωριστής,2512
331,8,1,11,0201011301,"Χωριστή,η",2512
332,6,1,11,020102,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΣΙΔΗΡΟΝΕΡΟΥ,239
333,7,1,11,02010201,Δημοτική Κοινότητα Σιδηρονέρου,198
334,8,1,11,0201020101,"Σιδηρόνερον,το",165
335,8,1,11,0201020102,"Καλλίκαρπον,το",14
336,8,1,11,0201020103,"Οροπέδιο,το",11
337,8,1,11,0201020104,"Παππάδες,οι",8
338,7,1,11,02010202,Δημοτική Κοινότητα Σκαλωτής,41
339,8,1,11,0201020201,"Σκαλωτή,η",41
340,5,1,11,0202,ΔΗΜΟΣ ΔΟΞΑΤΟΥ,12059
341,6,1,11,020201,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΚΑΛΑΜΠΑΚΙΟΥ,4491
342,7,1,11,02020101,Δημοτική Κοινότητα Καλαμπακίου,2652
343,8,1,11,0202010101,"Καλαμπάκιον,το",2652
344,7,1,11,02020102,Δημοτική Κοινότητα Αγίας Παρασκευής,272
345,8,1,11,0202010201,"Αγία Παρασκευή,η",272
346,7,1,11,02020103,Δημοτική Κοινότητα Καλαμώνος,509
347,8,1,11,0202010301,"Καλαμών,ο",509
348,7,1,11,02020104,Δημοτική Κοινότητα Νεροφράκτου,446
349,8,1,11,0202010401,"Νεροφράκτης,ο",446
350,7,1,11,02020105,Δημοτική Κοινότητα Φτελιάς,612
351,8,1,11,0202010501,"Φτελιά,η",612
352,6,1,11,020202,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΔΟΞΑΤΟΥ,7568
353,7,1,11,02020201,Δημοτική Κοινότητα Κυρίων,1535
354,8,1,11,0202020101,"Βαθύσπηλον,το",174
355,8,1,11,0202020102,"Βαθυχώριον,το",148
356,8,1,11,0202020103,"Ευρύπεδον,το",142
357,8,1,11,0202020104,"Κύρια,τα",1029
358,8,1,11,0202020105,"Υψηλόν,το",42
359,7,1,11,02020202,Δημοτική Κοινότητα Αγίου Αθανασίου,2746
360,8,1,11,0202020201,"Άγιος Αθανάσιος,ο",2746
361,7,1,11,02020203,Δημοτική Κοινότητα Αγοράς,101
362,8,1,11,0202020301,"Αγορά,η",101
363,7,1,11,02020204,Δημοτική Κοινότητα Δοξάτου,2468
364,8,1,11,0202020401,"Δοξάτον,το",2468
365,7,1,11,02020205,Δημοτική Κοινότητα Κεφαλαρίου,576
366,8,1,11,0202020501,"Άνω Κεφαλάριον,το",284
367,8,1,11,0202020502,"Κάτω Κεφαλάριον,το",292
368,7,1,11,02020206,Δημοτική Κοινότητα Πηγαδίων,142
369,8,1,11,0202020601,"Πηγάδια,τα",125
370,8,1,11,0202020602,"Αίγειρος,ο",3
371,8,1,11,0202020603,"Περιστέρια,τα",14
372,5,1,11,0203,ΔΗΜΟΣ ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,5323
373,6,1,11,020300,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,5323
374,7,1,11,02030001,Δημοτική Κοινότητα Κάτω Νευροκοπίου,1855
375,8,1,11,0203000101,"Κάτω Νευροκόπιον,το",1855
376,7,1,11,02030002,Δημοτική Κοινότητα Αχλαδέας,46
377,8,1,11,0203000201,"Αχλαδέα,η",46
378,7,1,11,02030003,Δημοτική Κοινότητα Βαθυτόπου,255
379,8,1,11,0203000301,"Βαθύτοπος,ο",255
380,7,1,11,02030004,Δημοτική Κοινότητα Βώλακος,783
381,8,1,11,0203000401,"Βώλαξ,ο",783
382,7,1,11,02030005,Δημοτική Κοινότητα Γρανίτου,55
383,8,1,11,0203000501,"Γρανίτης,ο",55
384,7,1,11,02030006,Δημοτική Κοινότητα Δασωτού,132
385,8,1,11,0203000601,"Δασωτόν,το",132
386,7,1,11,02030007,Δημοτική Κοινότητα Εξοχής,106
387,8,1,11,0203000701,"Εξοχή,η",106
388,7,1,11,02030008,Δημοτική Κοινότητα Καταφύτου,87
389,8,1,11,0203000801,"Κατάφυτον,το",87
390,7,1,11,02030009,Δημοτική Κοινότητα Κάτω Βροντούς,287
391,8,1,11,0203000901,"Κάτω Βροντού,η",287
392,7,1,11,02030010,Δημοτική Κοινότητα Λευκογείων,321
393,8,1,11,0203001001,"Λευκόγεια,τα",321
394,7,1,11,02030011,Δημοτική Κοινότητα Μικροκλεισούρας,106
395,8,1,11,0203001101,"Μικροκλεισούρα,η",72
396,8,1,11,0203001102,"Πέρασμα,το",34
397,7,1,11,02030012,Δημοτική Κοινότητα Μικρομηλέας,36
398,8,1,11,0203001201,"Μικρομηλέα,η",36
399,7,1,11,02030013,Δημοτική Κοινότητα Οχυρού,314
400,8,1,11,0203001301,"Οχυρόν,το",314
401,7,1,11,02030014,Δημοτική Κοινότητα Παγονερίου,102
402,8,1,11,0203001401,"Παγονέριον,το",102
403,7,1,11,02030015,Δημοτική Κοινότητα Περιθωρίου,569
404,8,1,11,0203001501,"Περιθώριον,το",569
405,7,1,11,02030016,Δημοτική Κοινότητα Ποταμών,161
406,8,1,11,0203001601,"Ποταμοί,οι",161
407,7,1,11,02030017,Δημοτική Κοινότητα Χρυσοκεφάλου,108
408,8,1,11,0203001701,"Χρυσοκέφαλος,ο",108
409,5,1,11,0204,ΔΗΜΟΣ ΠΑΡΑΝΕΣΤΙΟΥ,2843
410,6,1,11,020401,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΠΑΡΑΝΕΣΤΙΟΥ,994
411,7,1,11,02040101,Δημοτική Κοινότητα Παρανεστίου,824
412,8,1,11,0204010101,"Παρανέστιον,το",629
413,8,1,11,0204010102,"Αηδονόκαστρον,το",3
414,8,1,11,0204010103,"Καπνόφυτον,το",18
415,8,1,11,0204010104,"Καρποφόρον,το",16
416,8,1,11,0204010105,"Μεσοχώριον,το",90
417,8,1,11,0204010106,"Ξάγναντον,το",37
418,8,1,11,0204010107,"Περίβλεπτον,το",3
419,8,1,11,0204010108,"Πολυνέριον,το",6
420,8,1,11,0204010109,"Πολύσυκο,το",12
421,8,1,11,0204010110,"Τέμενος,το",10
