Α/Α,Γεωγρα-φικό επίπεδο,NUTS1,NUTS2,Γεωγραφικός κωδικός,Περιγραφή,Μόνιμος πληθυσμός
13804,8,2,43,4102060301,"Καπαρέλλιον,το",147
13805,7,2,43,41020604,Δημοτική Κοινότητα Καρυάς,491
13806,8,2,43,4102060401,"Καρυά,η",125
13807,8,2,43,4102060402,"Άγιος Γεώργιος,ο",10
13808,8,2,43,4102060403,"Αγριλίτσα,η",98
13809,8,2,43,4102060404,"Αρία,η",6
13810,8,2,43,4102060405,"Γαλαναίικα,τα",24
13811,8,2,43,4102060406,"Γαλάτιον,το",27
13812,8,2,43,4102060407,"Μποζιονελαίικα,τα",30
13813,8,2,43,4102060408,"Σπαναίικα,τα",57
13814,8,2,43,4102060409,"Στραβή Ράχη,η",18
13815,8,2,43,4102060410,"Χούνη,η",96
13816,7,2,43,41020605,Δημοτική Κοινότητα Κεφαλοβρύσου,46
13817,8,2,43,4102060501,"Κεφαλόβρυσον,το",20
13818,8,2,43,4102060502,"Δούκα Βρύση,η",26
13819,7,2,43,41020606,Δημοτική Κοινότητα Νεοχωρίου,41
13820,8,2,43,4102060601,"Νεοχώριον,το",41
13821,7,2,43,41020607,Δημοτική Κοινότητα Στέρνας,122
13822,8,2,43,4102060701,"Στέρνα,η",122
13823,7,2,43,41020608,Δημοτική Κοινότητα Φρεγκαίνης,79
13824,8,2,43,4102060801,"Φρέγκαινα,η",33
13825,8,2,43,4102060802,"Άγιος Στέφανος,ο",4
13826,8,2,43,4102060803,"Μερκούριον,το",42
13827,6,2,43,410207,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΜΥΚΗΝΑΙΩΝ,2885
13828,7,2,43,41020701,Δημοτική Κοινότητα Μυκηνών,342
13829,8,2,43,4102070101,"Μυκήναι,αι",342
13830,7,2,43,41020702,Δημοτική Κοινότητα Λιμνών,553
13831,8,2,43,4102070201,"Λίμναι,αι",553
13832,7,2,43,41020703,Δημοτική Κοινότητα Μοναστηρακίου,244
13833,8,2,43,4102070301,"Μοναστηράκιον,το",244
13834,7,2,43,41020704,Δημοτική Κοινότητα Μπόρσα,165
13835,8,2,43,4102070401,"Μπόρσας,ο",165
13836,7,2,43,41020705,Δημοτική Κοινότητα Νέου Ηραίου,423
13837,8,2,43,4102070501,"Νέον Ηραίον,το",423
13838,7,2,43,41020706,Δημοτική Κοινότητα Προσύμνης,495
13839,8,2,43,4102070601,"Πρόσυμνα,η",495
13840,7,2,43,41020707,Δημοτική Κοινότητα Φιχτίου,663
13841,8,2,43,4102070701,"Φίχτιον,το",663
13842,6,2,43,410208,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΝΕΑΣ ΚΙΟΥ,2743
13843,7,2,43,41020801,Δημοτική Κοινότητα Νέας Κίου,2743
13844,8,2,43,4102080101,"Νέα Κίος,η",2743
13845,5,2,43,4103,ΔΗΜΟΣ ΕΠΙΔΑΥΡΟΥ,7030
13846,6,2,43,410301,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΣΚΛΗΠΙΕΙΟΥ,3612
13847,7,2,43,41030101,Δημοτική Κοινότητα Ασκληπιείου,2500
13848,8,2,43,4103010101,"Λυγούριον,το",2197
13849,8,2,43,4103010102,"Άγιος Ανδρέας,ο",37
13850,8,2,43,4103010103,"Αναστασοπουλαίικα,τα",3
13851,8,2,43,4103010104,"Ασκληπιείο Επιδαύρου,το",21
13852,8,2,43,4103010105,"Γιαννουλαίικα,τα",107
13853,8,2,43,4103010106,"Κοκκινάδες,οι",48
13854,8,2,43,4103010107,"Σπηλεία,τα",28
13855,8,2,43,4103010108,"Σταματαίικα,τα",1
13856,8,2,43,4103010109,"Χάνι Μερκούρη,το",11
13857,8,2,43,4103010110,"Χουταλαίικα,τα",47
13858,7,2,43,41030102,Δημοτική Κοινότητα Αγίου Δημητρίου,661
13859,8,2,43,4103010201,"Μετόχιον,το",618
