"Α05. Απογραφή Πληθυσμού-Κατοικιών 2021. Κανονικές κατοικίες κατά κατάσταση κατοικίας (κατοικούμενες, κενές), διαθεσιμότητα δικτύου υδροδότησης και λουτρού",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Περιφερειακές Ενότητες ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Γεωγραφικό επίπεδο,Γεωγραφικός κωδικός,Περιγραφή/Δίκτυο υδροδότησης  ,Κανονικές κατοικίες,,,,,Κατοικούμενες,,,,,Κενές,,,,
,,,Σύνολο,Διαθεσιμότητα λουτρού ή ντους ,,,,Σύνολο,Διαθεσιμότητα λουτρού ή ντους ,,,,Σύνολο,Διαθεσιμότητα λουτρού ή ντους ,,,
,,,,Mε λουτρό ή  ντους,Εκ των οποίων ,,Χωρίς λουτρό ή ντους ,,Mε λουτρό ή  ντους,Εκ των οποίων ,,Χωρίς λουτρό ή ντους ,,Mε λουτρό ή  ντους,Εκ των οποίων ,,Χωρίς λουτρό ή ντους 
,,,,,Λουτρό ή ντους εντός της κατοικίας,Λουτρό ή ντους εκτός της κατοικίας,,,,Λουτρό ή ντους εντός της κατοικίας,Λουτρό ή ντους εκτός της κατοικίας,,,,Λουτρό ή ντους εντός της κατοικίας,Λουτρό ή ντους εκτός της κατοικίας,
,,,,,,,,,,,,,,,,,
4,11212,Χωρίς δίκτυο υδροδότησης ,123,0,0,0,123,24,0,0,0,24,101,0,0,0,101
4,11213,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΧΑΛΚΙΔΙΚΗΣ,142116,140561,138890,1669,1557,39663,39593,38684,905,67,102455,100966,100208,760,1487
4,11213,Διαθεσιμότητα δικτύου υδροδότησης ,141429,140561,138890,1669,870,39626,39593,38684,905,31,101806,100966,100208,760,842
4,11213,Διαθεσιμότητα δικτύου υδροδότησης εντός της κατοικίας,140812,139986,138890,1099,824,39321,39304,38684,616,14,101494,100684,100208,479,808
4,11213,Διαθεσιμότητα δικτύου υδροδότησης εκτός της κατοικίας,619,573,0,573,48,303,285,0,285,14,314,284,0,284,32
4,11213,Χωρίς δίκτυο υδροδότησης ,690,0,0,0,690,40,0,0,0,40,647,0,0,0,647
4,11299,ΑΓΙΟ ΟΡΟΣ (ΑΥΤΟΔΙΟΙΚΗΤΟ),626,494,464,32,135,296,260,251,12,33,334,232,216,18,104
4,11299,Διαθεσιμότητα δικτύου υδροδότησης ,552,494,464,32,56,268,260,251,12,6,281,232,216,18,52
4,11299,Διαθεσιμότητα δικτύου υδροδότησης εντός της κατοικίας,520,480,464,18,38,264,259,251,11,3,259,219,216,5,37
4,11299,Διαθεσιμότητα δικτύου υδροδότησης εκτός της κατοικίας,36,17,0,17,15,7,3,0,3,6,25,10,0,10,12
4,11299,Χωρίς δίκτυο υδροδότησης ,77,0,0,0,77,25,0,0,0,25,49,0,0,0,49
3,121,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,160993,157418,154780,2635,3573,100664,100485,98591,1897,176,60327,56929,56192,741,3395
3,121,Διαθεσιμότητα δικτύου υδροδότησης ,159622,157418,154780,2635,2201,100599,100485,98591,1897,111,59020,56929,56192,741,2088
3,121,Διαθεσιμότητα δικτύου υδροδότησης εντός της κατοικίας,158719,156708,154780,1925,2008,100041,99984,98591,1395,55,58680,56726,56192,532,1957
3,121,Διαθεσιμότητα δικτύου υδροδότησης εκτός της κατοικίας,900,707,0,707,190,561,504,0,504,59,337,206,0,206,134
3,121,Χωρίς δίκτυο υδροδότησης ,1374,0,0,0,1374,62,0,0,0,62,1310,0,0,0,1310
4,12114,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΟΖΑΝΗΣ,82423,80614,79395,1216,1812,53929,53847,52932,912,80,28496,26765,26461,301,1729
4,12114,Διαθεσιμότητα δικτύου υδροδότησης ,81680,80614,79395,1216,1063,53899,53847,52932,912,49,27778,26765,26461,301,1011
4,12114,Διαθεσιμότητα δικτύου υδροδότησης εντός της κατοικίας,81207,80231,79395,838,973,53575,53558,52932,623,20,27629,26676,26461,218,950
4,12114,Διαθεσιμότητα δικτύου υδροδότησης εκτός της κατοικίας,470,380,0,380,93,326,292,0,292,32,147,86,0,86,64
4,12114,Χωρίς δίκτυο υδροδότησης ,746,0,0,0,746,27,0,0,0,27,716,0,0,0,716
4,12115,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΓΡΕΒΕΝΩΝ,23101,22656,22296,358,448,11070,11049,10854,198,19,12034,11605,11439,163,432
4,12115,Διαθεσιμότητα δικτύου υδροδότησης ,22953,22656,22296,358,300,11062,11049,10854,198,9,11894,11605,11439,163,287
4,12115,Διαθεσιμότητα δικτύου υδροδότησης εντός της κατοικίας,22864,22591,22296,297,271,11033,11028,10854,172,7,11828,11565,11439,123,261
4,12115,Διαθεσιμότητα δικτύου υδροδότησης εκτός της κατοικίας,92,63,0,63,31,32,23,0,23,5,64,37,0,37,23
4,12115,Χωρίς δίκτυο υδροδότησης ,145,0,0,0,145,6,0,0,0,6,142,0,0,0,142
4,12116,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΑΣΤΟΡΙΑΣ,27957,27337,26768,571,617,18471,18437,18019,414,38,9488,8903,8747,154,583
4,12116,Διαθεσιμότητα δικτύου υδροδότησης ,27782,27337,26768,571,448,18456,18437,18019,414,23,9322,8903,8747,154,422
4,12116,Διαθεσιμότητα δικτύου υδροδότησης εντός της κατοικίας,27608,27202,26768,431,409,18355,18340,18019,318,12,9255,8859,8747,115,394
4,12116,Διαθεσιμότητα δικτύου υδροδότησης εκτός της κατοικίας,177,138,0,138,42,104,93,0,93,7,70,42,0,42,31
4,12116,Χωρίς δίκτυο υδροδότησης ,173,0,0,0,173,12,0,0,0,12,163,0,0,0,163
4,12117,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΦΛΩΡΙΝΑΣ,27505,26813,26323,492,694,17196,17157,16784,375,37,10311,9659,9541,114,655
4,12117,Διαθεσιμότητα δικτύου υδροδότησης ,27204,26813,26323,492,388,17180,17157,16784,375,27,10022,9659,9541,114,365
4,12117,Διαθεσιμότητα δικτύου υδροδότησης εντός της κατοικίας,27043,26682,26323,361,364,17080,17067,16784,279,17,9965,9618,9541,79,351
4,12117,Διαθεσιμότητα δικτύου υδροδότησης εκτός της κατοικίας,159,129,0,129,27,102,93,0,93,6,54,38,0,38,18
4,12117,Χωρίς δίκτυο υδροδότησης ,303,0,0,0,303,14,0,0,0,14,286,0,0,0,286
3,122,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,217587,212454,206236,6216,5135,132134,131761,128007,3757,371,85456,80692,78232,2462,4762
3,122,Διαθεσιμότητα δικτύου υδροδότησης ,215768,212367,206176,6189,3399,131941,131723,127977,3749,221,83825,80642,78201,2443,3180
3,122,Διαθεσιμότητα δικτύου υδροδότησης εντός της κατοικίας,214078,211076,206176,4898,3004,131096,131000,127977,3026,94,82984,80073,78201,1875,2908
3,122,Διαθεσιμότητα δικτύου υδροδότησης εκτός της κατοικίας,1689,1294,0,1294,397,847,726,0,726,124,843,566,0,566,275
3,122,Χωρίς δίκτυο υδροδότησης ,1821,85,57,29,1734,190,40,27,10,153,1629,47,28,22,1585
4,12218,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΙΩΑΝΝΙΝΩΝ,110251,107637,104543,3097,2612,66548,66379,64582,1794,166,43705,41255,39958,1300,2447
4,12218,Διαθεσιμότητα δικτύου υδροδότησης ,109339,107636,104537,3097,1701,66478,66379,64582,1794,102,42859,41254,39952,1300,1602
4,12218,Διαθεσιμότητα δικτύου υδροδότησης εντός της κατοικίας,108618,107085,104537,2545,1530,66147,66105,64582,1520,40,42473,40983,39952,1028,1493
4,12218,Διαθεσιμότητα δικτύου υδροδότησης εκτός της κατοικίας,719,548,0,548,167,333,277,0,277,59,383,274,0,274,112
4,12218,Χωρίς δίκτυο υδροδότησης ,914,3,3,0,908,67,0,0,0,67,844,3,3,0,843
4,12219,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΡΤΑΣ,41516,40412,38973,1442,1102,26482,26364,25365,1001,116,15032,14046,13604,444,989
4,12219,Διαθεσιμότητα δικτύου υδροδότησης ,41140,40412,38973,1442,731,26428,26364,25365,1001,62,14715,14046,13604,444,667
4,12219,Διαθεσιμότητα δικτύου υδροδότησης εντός της κατοικίας,40691,40070,38973,1101,618,26189,26166,25365,797,26,14500,13908,13604,300,595
4,12219,Διαθεσιμότητα δικτύου υδροδότησης εκτός της κατοικίας,452,338,0,338,111,237,201,0,201,33,213,140,0,140,75
4,12219,Χωρίς δίκτυο υδροδότησης ,373,0,0,0,373,57,0,0,0,57,319,0,0,0,319
4,12220,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΘΕΣΠΡΩΤΙΑΣ,27859,27183,26280,905,673,16611,16580,16154,423,34,11245,10605,10123,479,642
4,12220,Διαθεσιμότητα δικτύου υδροδότησης ,27719,27183,26280,905,534,16602,16580,16154,423,25,11115,10605,10123,479,506
4,12220,Διαθεσιμότητα δικτύου υδροδότησης εντός της κατοικίας,27461,27007,26280,724,457,16491,16481,16154,324,13,10972,10522,10123,403,446
4,12220,Διαθεσιμότητα δικτύου υδροδότησης εκτός της κατοικίας,256,179,0,179,74,113,102,0,102,14,140,79,0,79,63
4,12220,Χωρίς δίκτυο υδροδότησης ,142,0,0,0,142,7,0,0,0,7,133,0,0,0,133
4,12221,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΠΡΕΒΕΖΑΣ,37964,37220,36443,775,746,22490,22435,21897,541,57,15471,14783,14548,237,692
4,12221,Διαθεσιμότητα δικτύου υδροδότησης ,37572,37140,36389,748,436,22431,22398,21868,528,30,15139,14739,14518,218,402
4,12221,Διαθεσιμότητα δικτύου υδροδότησης εντός της κατοικίας,37305,36916,36389,525,392,22272,22252,21868,381,18,15037,14662,14518,141,377
4,12221,Διαθεσιμότητα δικτύου υδροδότησης εκτός της κατοικίας,264,221,0,221,41,162,144,0,144,16,100,79,0,79,23
4,12221,Χωρίς δίκτυο υδροδότησης ,395,83,50,29,313,61,40,27,10,24,335,46,27,22,292
1,2,ΚΕΝΤΡΙΚΗ ΕΛΛΑΔΑ,1784357,1749714,1702623,47094,34645,1028941,1025900,995676,30222,3043,755413,723816,706944,16870,31599
1,2,Διαθεσιμότητα δικτύου υδροδότησης ,1772663,1748754,1701685,47073,23913,1027199,1025563,995348,30217,1635,745468,723194,706339,16853,22275
1,2,Διαθεσιμότητα δικτύου υδροδότησης εντός της κατοικίας,1762320,1740391,1701685,38704,21925,1020936,1020077,995348,24731,857,741386,720311,706339,13975,21072
1,2,Διαθεσιμότητα δικτύου υδροδότησης εκτός της κατοικίας,10347,8366,0,8366,1984,6266,5483,0,5483,780,4084,2880,0,2880,1201
1,2,Χωρίς δίκτυο υδροδότησης ,11690,957,936,25,10735,1744,335,331,7,1412,9943,619,607,14,9327
