,,,,Σύνολο κτιρίων αποκλειστικής χρήσης,Αποκλειστική χρήση κτιρίων,,,,,,,,,,,,,,,Σύνολο κτιρίων μεικτής χρήσης,Κύρια χρήση κτιρίων μεικτής χρήσης,,,,,,,,,,,,,,
,,,,,Κατοικία,Θρησκευτικός χώρος,Ξενοδοχείο ή άλλου είδους τουριστική εγκατάσταση,Εργοστάσιο-εργαστήριο,Σχολικό κτίριο,Φροντιστήριο,"Κοινωνικής πρόνοιας (π.χ παιδικός σταθμός, οίκος ευγηρίας)",Αστυνομικός ή πυροσβεστικός σταθμός,Σωφρονιστικό ίδρυμα,Δημόσια υπηρεσία (γραφεία),Κατάστημα-γραφείο,Χώρος θεαμάτων-συνεδριακός χώρος-μουσείο-βιβλιοθήκη,Σταθμός αυτοκινήτων (πάρκινγκ),Νοσοκομείο-κλινική,Άλλη χρήση,,Κατοικία,Θρησκευτικός χώρος,Ξενοδοχείο ή άλλου είδους τουριστική εγκατάσταση,Εργοστάσιο-εργαστήριο,Σχολικό κτίριο,Φροντιστήριο,"Κοινωνικής πρόνοιας (π.χ παιδικός σταθμός, οίκος ευγηρίας)",Αστυνομικός ή πυροσβεστικός σταθμός,Σωφρονιστικό ίδρυμα,Δημόσια υπηρεσία (γραφεία),Κατάστημα-γραφείο,Χώρος θεαμάτων-συνεδριακός χώρος-μουσείο-βιβλιοθήκη,Σταθμός αυτοκινήτων (πάρκινγκ),Νοσοκομείο-κλινική,Άλλη χρήση
7,24238060404,Δημοτική Κοινότητα Αχλαδοκάστρου,116,116,78,4,0,0,1,0,0,0,0,1,1,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423806040401,"Αχλαδόκαστρον,το",116,116,78,4,0,0,1,0,0,0,0,1,1,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24238060405,Δημοτική Κοινότητα Δενδροχωρίου,36,36,31,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423806040501,"Δενδροχώριον,το",36,36,31,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24238060406,Δημοτική Κοινότητα Καστανέας,85,83,63,3,0,0,1,0,0,0,0,0,2,0,0,0,14,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,2423806040601,"Καστανέα,η",70,70,56,3,0,0,1,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423806040602,"Χάνι Λιόλιου,το - Διάσελο,το",15,13,7,0,0,0,0,0,0,0,0,0,1,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,24238060407,Δημοτική Κοινότητα Κλεπάς,277,271,231,11,0,0,2,0,0,0,0,1,3,1,0,0,22,6,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0
8,2423806040701,"Κλεπά,η",189,185,151,7,0,0,1,0,0,0,0,1,2,1,0,0,22,4,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
8,2423806040702,"Άνω Κλεπά,η",88,86,80,4,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,24238060408,Δημοτική Κοινότητα Λιβαδακίου,224,223,217,2,0,0,1,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423806040801,"Λιβαδάκιον,το",224,223,217,2,0,0,1,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24238060409,Δημοτική Κοινότητα Νεοχωρίου Ναυπακτίας,171,170,139,6,0,0,1,0,0,0,0,0,4,0,0,0,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423806040901,"Νεοχώριον,το",152,151,128,4,0,0,1,0,0,0,0,0,4,0,0,0,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423806040902,"Πετρωτόν,το",19,19,11,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24238060410,Δημοτική Κοινότητα Περδικόβρυσης,132,130,110,7,0,0,1,0,0,0,0,0,0,0,0,0,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423806041001,"Περδικόβρυση,η",132,130,110,7,0,0,1,0,0,0,0,0,0,0,0,0,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24238060411,Δημοτική Κοινότητα Περίστης,230,228,175,9,0,0,1,0,0,0,0,0,4,0,0,0,39,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423806041101,"Περίστα,η",230,228,175,9,0,0,1,0,0,0,0,0,4,0,0,0,39,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24238060412,Δημοτική Κοινότητα Χόμορης,141,141,108,7,0,0,0,0,0,0,0,0,4,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423806041201,"Χόμορη,η",112,112,89,6,0,0,0,0,0,0,0,0,3,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423806041202,"Αγία Τριάς,η",29,29,19,1,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,242380605,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΠΥΛΛΗΝΗΣ,1716,1709,1248,72,12,0,12,0,0,0,0,7,24,1,4,0,329,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24238060501,Δημοτική Κοινότητα Σίμου,201,200,145,7,7,0,2,0,0,0,0,2,1,1,0,0,35,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423806050101,"Σίμος,ο",108,107,93,3,0,0,1,0,0,0,0,2,1,1,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423806050102,"Κάμπος,ο",67,67,34,1,7,0,1,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423806050103,"Παλαιοχώριον,το",26,26,18,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24238060502,Δημοτική Κοινότητα Ανθοφύτου,129,129,109,6,0,0,0,0,0,0,0,0,1,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423806050201,"Ανθόφυτον,το",111,111,95,5,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423806050202,"Λεπτοκαρυά,η",18,18,14,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24238060503,Δημοτική Κοινότητα Γάβρου,65,65,54,4,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423806050301,"Γάβρος,ο",38,38,33,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423806050302,"Κουτσογιανναίικα,τα",27,27,21,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24238060504,Δημοτική Κοινότητα Δορβιτσιάς,141,140,88,3,0,0,1,0,0,0,0,0,3,0,0,0,45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423806050401,"Δορβιτσιά,η",141,140,88,3,0,0,1,0,0,0,0,0,3,0,0,0,45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24238060505,Δημοτική Κοινότητα Ελευθεριανής,185,185,171,5,0,0,0,0,0,0,0,1,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423806050501,"Ελευθεριανή,η",185,185,171,5,0,0,0,0,0,0,0,1,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24238060506,Δημοτική Κοινότητα Μηλέας,109,109,89,3,0,0,0,0,0,0,0,0,1,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423806050601,"Μηλέα,η",109,109,89,3,0,0,0,0,0,0,0,0,1,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24238060507,Δημοτική Κοινότητα Παλαιοπύργου,229,227,166,22,1,0,2,0,0,0,0,2,4,0,0,0,30,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423806050701,"Παλαιόπυργος,ο",174,172,133,14,1,0,1,0,0,0,0,1,3,0,0,0,19,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423806050702,"Περιβόλια,τα",55,55,33,8,0,0,1,0,0,0,0,1,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24238060508,Δημοτική Κοινότητα Ποκίστης,146,146,90,3,0,0,1,0,0,0,0,0,4,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423806050801,"Ποκίστα,η",146,146,90,3,0,0,1,0,0,0,0,0,4,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24238060509,Δημοτική Κοινότητα Στρανώμης,271,270,141,8,3,0,2,0,0,0,0,1,7,0,2,0,106,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423806050901,"Στράνωμα,η",108,107,77,5,0,0,0,0,0,0,0,1,1,0,2,0,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423806050902,"Άνω Κάμπος,ο",80,80,35,1,0,0,1,0,0,0,0,0,2,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423806050903,"Κάτω Κάμπος,ο",58,58,27,1,0,0,1,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423806050904,"Λουτρά Στάχτης,τα",25,25,2,1,3,0,0,0,0,0,0,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24238060510,Δημοτική Κοινότητα Στύλιας,90,90,78,6,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423806051001,"Στύλια,η",61,61,55,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423806051002,"Αγία Τριάδα,η",29,29,23,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24238060511,Δημοτική Κοινότητα Φαμίλας,150,148,117,5,1,0,2,0,0,0,0,1,1,0,0,0,21,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423806051101,"Πλατανιάς,ο",94,93,76,3,0,0,1,0,0,0,0,1,1,0,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423806051102,"Συκέα,η",39,38,27,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423806051103,"Φαμίλα,η",17,17,14,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,242380606,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΧΑΛΚΕΙΑΣ,2463,2421,1491,26,27,8,10,0,0,1,0,6,55,1,9,0,787,42,32,0,2,0,0,0,0,0,0,0,7,1,0,0,0
7,24238060601,Δημοτική Κοινότητα Τρικόρφου,322,316,188,4,0,1,1,0,0,0,0,0,4,0,0,0,118,6,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0
8,2423806060101,"Τρίκορφον,το",322,316,188,4,0,1,1,0,0,0,0,0,4,0,0,0,118,6,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0
7,24238060602,Δημοτική Κοινότητα Άνω Βασιλικής,150,149,84,1,0,0,1,0,0,0,0,1,0,0,0,0,62,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423806060201,"Άνω Βασιλική,η",150,149,84,1,0,0,1,0,0,0,0,1,0,0,0,0,62,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24238060603,Δημοτική Κοινότητα Βασιλικής,331,323,242,3,3,0,1,0,0,0,0,0,4,0,2,0,68,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423806060301,"Κάτω Βασιλική,η",255,248,203,2,2,0,1,0,0,0,0,0,2,0,2,0,36,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423806060302,"Κωστέϊκα,τα",31,31,12,1,1,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423806060303,"Πέραμα,το",45,44,27,0,0,0,0,0,0,0,0,0,2,0,0,0,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24238060604,Δημοτική Κοινότητα Γαβρολίμνης,345,342,158,2,0,0,2,0,0,0,0,2,10,0,7,0,161,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,2423806060401,"Γαβρολίμνη,η",345,342,158,2,0,0,2,0,0,0,0,2,10,0,7,0,161,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,24238060605,Δημοτική Κοινότητα Γαλατά,990,966,625,11,22,2,2,0,0,0,0,2,29,1,0,0,272,24,19,0,1,0,0,0,0,0,0,0,3,1,0,0,0
8,2423806060501,"Γαλατάς,ο",907,889,578,10,15,2,2,0,0,0,0,2,23,1,0,0,256,18,15,0,0,0,0,0,0,0,0,0,2,1,0,0,0
8,2423806060502,"Κρυονέριον,το",83,77,47,1,7,0,0,0,0,0,0,0,6,0,0,0,16,6,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0
7,24238060606,Δημοτική Κοινότητα Καλαβρούζης,172,172,82,4,1,4,2,0,0,1,0,0,2,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423806060601,"Κάτω Καλαβρούζα,η",85,85,34,1,1,0,1,0,0,0,0,0,1,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423806060602,"Καλαβρούζα,η",32,32,22,2,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423806060603,"Νέα Καλαβρούζα,η",55,55,26,1,0,4,0,0,0,1,0,0,1,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24238060607,Δημοτική Κοινότητα Περιθωρίου,153,153,112,1,1,1,1,0,0,0,0,1,6,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423806060701,"Περιθώριον,το",153,153,112,1,1,1,1,0,0,0,0,1,6,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2423807,ΔΗΜΟΣ ΞΗΡΟΜΕΡΟΥ,8623,8248,5599,89,42,31,34,0,5,0,0,20,210,9,30,2,2177,375,247,0,19,8,0,3,0,1,0,0,93,2,0,0,2
6,242380701,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΣΤΑΚΟΥ,4829,4641,3054,50,17,16,18,0,1,0,0,13,87,5,1,1,1378,188,151,0,2,4,0,0,0,1,0,0,29,1,0,0,0
7,24238070101,Δημοτική Κοινότητα Αστακού,1688,1562,1038,12,16,6,7,0,1,0,0,2,42,2,0,1,435,126,95,0,1,3,0,0,0,1,0,0,25,1,0,0,0
8,2423807010101,"Αστακός,ο",1665,1539,1033,11,16,6,7,0,1,0,0,2,42,2,0,1,418,126,95,0,1,3,0,0,0,1,0,0,25,1,0,0,0
8,2423807010102,"Βαλτίον,το",23,23,5,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24238070102,Δημοτική Κοινότητα Αγραμπέλων,121,121,71,2,0,0,0,0,0,0,0,1,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423807010201,"Αγράμπελα,τα",121,121,71,2,0,0,0,0,0,0,0,1,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24238070103,Δημοτική Κοινότητα Βασιλοπούλου,394,384,242,3,0,2,1,0,0,0,0,2,0,0,0,0,134,10,5,0,1,1,0,0,0,0,0,0,3,0,0,0,0
8,2423807010301,"Βασιλόπουλον,το",394,384,242,3,0,2,1,0,0,0,0,2,0,0,0,0,134,10,5,0,1,1,0,0,0,0,0,0,3,0,0,0,0
7,24238070104,Δημοτική Κοινότητα Βλιζιανών,128,127,75,6,0,0,1,0,0,0,0,1,1,0,0,0,43,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423807010401,"Βλιζιανά,τα",128,127,75,6,0,0,1,0,0,0,0,1,1,0,0,0,43,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24238070105,Δημοτική Κοινότητα Καραϊσκάκη,346,326,218,4,0,1,2,0,0,0,0,1,7,0,0,0,93,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423807010501,"Καραϊσκάκης,ο",346,326,218,4,0,1,2,0,0,0,0,1,7,0,0,0,93,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24238070106,Δημοτική Κοινότητα Μαχαιρά,304,300,211,3,0,3,0,0,0,0,0,4,4,0,0,0,75,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423807010601,"Μαχαιράς,ο",304,300,211,3,0,3,0,0,0,0,0,4,4,0,0,0,75,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24238070107,Δημοτική Κοινότητα Μπαμπίνης,288,287,202,3,0,0,1,0,0,0,0,0,6,1,1,0,73,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423807010701,"Μπαμπίνη,η",288,287,202,3,0,0,1,0,0,0,0,0,6,1,1,0,73,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24238070108,Δημοτική Κοινότητα Παλαιομανίνας,714,703,465,3,0,2,2,0,0,0,0,0,7,1,0,0,223,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423807010801,"Παλαιομάνινα,η",714,703,465,3,0,2,2,0,0,0,0,0,7,1,0,0,223,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24238070109,Δημοτική Κοινότητα Προδρόμου,175,172,129,5,0,0,1,0,0,0,0,0,3,0,0,0,34,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,2423807010901,"Πρόδρομος,ο",175,172,129,5,0,0,1,0,0,0,0,0,3,0,0,0,34,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,24238070110,Δημοτική Κοινότητα Σκουρτούς,179,173,125,1,0,0,1,0,0,0,0,1,2,1,0,0,42,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423807011001,"Σκουρτού,η",179,173,125,1,0,0,1,0,0,0,0,1,2,1,0,0,42,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24238070111,Δημοτική Κοινότητα Στρογγυλοβουνίου,258,257,146,3,0,2,1,0,0,0,0,1,8,0,0,0,96,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423807011101,"Στρογγυλοβούνιον,το",144,144,88,2,0,0,1,0,0,0,0,1,3,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423807011102,"Μάνινα Βλιζιανών,η",114,113,58,1,0,2,0,0,0,0,0,0,5,0,0,0,47,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24238070112,Δημοτική Κοινότητα Χρυσοβίτσης,234,229,132,5,1,0,1,0,0,0,0,0,7,0,0,0,83,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423807011201,"Χρυσόβιτσα,η",234,229,132,5,1,0,1,0,0,0,0,0,7,0,0,0,83,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,242380702,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΛΥΖΙΑΣ,2111,1979,1482,22,24,10,12,0,3,0,0,4,81,4,25,1,311,132,65,0,17,4,0,2,0,0,0,0,43,1,0,0,0
7,24238070201,Δημοτική Κοινότητα Κανδήλας,709,693,532,7,0,8,3,0,3,0,0,2,39,3,19,0,77,16,2,0,0,3,0,1,0,0,0,0,9,1,0,0,0
8,2423807020101,"Κανδήλα,η",709,693,532,7,0,8,3,0,3,0,0,2,39,3,19,0,77,16,2,0,0,3,0,1,0,0,0,0,9,1,0,0,0
7,24238070202,Δημοτική Κοινότητα Αρχοντοχωρίου,550,512,390,7,14,0,2,0,0,0,0,1,12,0,0,0,86,38,37,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,2423807020201,"Αρχοντοχώριον,το",416,381,314,6,0,0,2,0,0,0,0,1,5,0,0,0,53,35,34,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,2423807020202,"Άγιος Αθανάσιος,ο",39,39,17,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423807020203,"Παλιόβαρκα,η",95,92,59,1,14,0,0,0,0,0,0,0,7,0,0,0,11,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24238070203,Δημοτική Κοινότητα Βάρνακα,230,222,133,2,0,1,2,0,0,0,0,1,4,0,0,0,79,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423807020301,"Βάρνακας,ο",230,222,133,2,0,1,2,0,0,0,0,1,4,0,0,0,79,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24238070204,Δημοτική Κοινότητα Μύτικα,507,438,351,2,10,1,5,0,0,0,0,0,24,1,6,1,37,69,17,0,17,1,0,1,0,0,0,0,33,0,0,0,0
8,2423807020401,"Μύτικας,ο",507,438,351,2,10,1,5,0,0,0,0,0,24,1,6,1,37,69,17,0,17,1,0,1,0,0,0,0,33,0,0,0,0
7,24238070205,Δημοτική Κοινότητα Παναγούλας,115,114,76,4,0,0,0,0,0,0,0,0,2,0,0,0,32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423807020501,"Παναγούλα,η",115,114,76,4,0,0,0,0,0,0,0,0,2,0,0,0,32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,242380703,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΦΥΤΕΙΩΝ,1683,1628,1063,17,1,5,4,0,1,0,0,3,42,0,4,0,488,55,31,0,0,0,0,1,0,0,0,0,21,0,0,0,2
7,24238070301,Δημοτική Κοινότητα Φυτειών,1149,1100,635,12,1,5,3,0,1,0,0,3,27,0,4,0,409,49,26,0,0,0,0,1,0,0,0,0,20,0,0,0,2
8,2423807030101,"Φυτείαι,αι",772,738,537,10,1,1,3,0,1,0,0,3,12,0,4,0,166,34,17,0,0,0,0,1,0,0,0,0,15,0,0,0,1
8,2423807030102,"Κουβαράς,ο",377,362,98,2,0,4,0,0,0,0,0,0,15,0,0,0,243,15,9,0,0,0,0,0,0,0,0,0,5,0,0,0,1
7,24238070302,Δημοτική Κοινότητα Παππαδάτου,534,528,428,5,0,0,1,0,0,0,0,0,15,0,0,0,79,6,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,2423807030201,"Παππαδάτος,ο",291,288,258,3,0,0,0,0,0,0,0,0,13,0,0,0,14,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423807030202,"Άγιος Στέφανος,ο",83,82,48,0,0,0,0,0,0,0,0,0,1,0,0,0,33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423807030203,"Ρίβιον,το",160,158,122,2,0,0,1,0,0,0,0,0,1,0,0,0,32,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,24239,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΗΛΕΙΑΣ,92006,85444,65526,1198,649,693,418,22,36,9,0,260,2197,108,195,27,14106,6562,5717,8,47,46,5,21,7,3,0,19,660,10,5,2,12
5,2423901,ΔΗΜΟΣ ΠΥΡΓΟΥ,27171,25272,20033,246,135,206,107,10,10,1,0,69,805,29,45,6,3570,1899,1585,3,14,18,1,13,4,1,0,7,241,4,0,2,6
6,242390101,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΠΥΡΓΟΥ,18619,17301,14084,127,128,133,71,8,8,1,0,49,660,21,37,6,1968,1318,1077,3,12,11,1,13,4,1,0,4,185,3,0,2,2
7,24239010101,Δημοτική Κοινότητα Πύργου,9413,8366,7016,42,7,70,42,8,7,1,0,22,454,14,8,6,669,1047,878,2,0,8,1,13,4,1,0,2,132,2,0,2,2
8,2423901010101,"Πύργος,ο",8849,7827,6627,35,7,45,42,8,6,1,0,18,409,13,8,5,603,1022,862,2,0,8,1,13,3,0,0,2,125,2,0,2,2
8,2423901010102,"Ανθόπυργος,ο",198,190,134,3,0,12,0,0,0,0,0,2,15,0,0,0,24,8,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,2423901010103,"Καβασιλάκια,τα",90,86,49,1,0,1,0,0,0,0,0,0,15,1,0,0,19,4,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
8,2423901010104,"Συντριάδα,η",126,116,73,2,0,11,0,0,1,0,0,2,15,0,0,1,11,10,4,0,0,0,0,0,1,0,0,0,5,0,0,0,0
8,2423901010105,"Τραγανό,το",150,147,133,1,0,1,0,0,0,0,0,0,0,0,0,0,12,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24239010102,Δημοτική Κοινότητα Αγίου Γεωργίου,454,439,306,4,0,6,4,0,0,0,0,0,15,0,0,0,104,15,10,0,0,1,0,0,0,0,0,0,4,0,0,0,0
8,2423901010201,"Άγιος Γεώργιος,ο",454,439,306,4,0,6,4,0,0,0,0,0,15,0,0,0,104,15,10,0,0,1,0,0,0,0,0,0,4,0,0,0,0
7,24239010103,Δημοτική Κοινότητα Αγίου Ηλία Πύργου,812,803,645,6,2,2,1,0,0,0,0,1,3,0,0,0,143,9,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0
8,2423901010301,"Άγιος Ηλίας,ο",66,65,50,2,1,1,0,0,0,0,0,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423901010302,"Πυργί,το",552,552,474,1,0,0,0,0,0,0,0,0,2,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423901010303,"Σταματελαίικα,τα",194,186,121,3,1,1,1,0,0,0,0,1,1,0,0,0,57,8,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0
7,24239010104,Δημοτική Κοινότητα Αγίου Ιωάννου,609,591,536,6,0,4,1,0,0,0,0,1,11,0,0,0,32,18,11,1,0,1,0,0,0,0,0,0,5,0,0,0,0
8,2423901010401,"Άγιος Ιωάννης,ο",236,219,189,3,0,3,1,0,0,0,0,1,9,0,0,0,13,17,10,1,0,1,0,0,0,0,0,0,5,0,0,0,0
8,2423901010402,"Κυανή Ακτή,η",299,299,296,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
